frame.time_epoch,ip.src,udp.srcport,ip.dst,udp.dstport
1762524708.776270000,170.114.201.99,8801,192.168.11.6,56042
1762524708.786129000,170.114.201.99,8801,192.168.11.6,56042
1762524708.796640000,170.114.201.99,8801,192.168.11.6,56042
1762524708.796643000,170.114.201.99,8801,192.168.11.6,56042
1762524708.807579000,170.114.201.99,8801,192.168.11.6,56042
1762524708.817705000,170.114.201.99,8801,192.168.11.6,56042
1762524708.828059000,170.114.201.99,8801,192.168.11.6,56042
1762524708.828064000,170.114.201.99,8801,192.168.11.6,56042
1762524708.828067000,170.114.201.99,8801,192.168.11.6,56042
1762524708.847722000,170.114.201.99,8801,192.168.11.6,56042
1762524708.847725000,170.114.201.99,8801,192.168.11.6,56042
1762524708.868764000,170.114.201.99,8801,192.168.11.6,56042
1762524708.868774000,170.114.201.99,8801,192.168.11.6,56042
1762524708.868777000,170.114.201.99,8801,192.168.11.6,56042
1762524708.869276000,192.168.11.6,56042,170.114.201.99,8801
1762524708.889803000,170.114.201.99,8801,192.168.11.6,56042
1762524708.889811000,170.114.201.99,8801,192.168.11.6,56042
1762524708.909738000,170.114.201.99,8801,192.168.11.6,56042
1762524708.909741000,170.114.201.99,8801,192.168.11.6,56042
1762524708.909743000,170.114.201.99,8801,192.168.11.6,56042
1762524708.910443000,192.168.11.6,53514,170.114.201.99,8801
1762524708.910517000,192.168.11.6,52758,170.114.201.99,8801
1762524708.920296000,170.114.201.99,8801,192.168.11.6,53514
1762524708.920300000,170.114.201.99,8801,192.168.11.6,53514
1762524708.920302000,170.114.201.99,8801,192.168.11.6,52758
1762524708.920303000,170.114.201.99,8801,192.168.11.6,52758
1762524708.925956000,192.168.11.6,53514,170.114.201.99,8801
1762524708.925977000,192.168.11.6,52758,170.114.201.99,8801
1762524708.929931000,170.114.201.99,8801,192.168.11.6,56042
1762524708.929934000,170.114.201.99,8801,192.168.11.6,56042
1762524708.929937000,170.114.201.99,8801,192.168.11.6,56042
1762524708.935811000,170.114.201.99,8801,192.168.11.6,53514
1762524708.939723000,170.114.201.99,8801,192.168.11.6,53514
1762524708.951655000,170.114.201.99,8801,192.168.11.6,53514
1762524708.951665000,170.114.201.99,8801,192.168.11.6,53514
1762524708.963137000,170.114.201.99,8801,192.168.11.6,53514
1762524708.972430000,170.114.201.99,8801,192.168.11.6,53514
1762524708.981178000,170.114.201.99,8801,192.168.11.6,53514
1762524708.981183000,170.114.201.99,8801,192.168.11.6,53514
1762524708.991388000,170.114.201.99,8801,192.168.11.6,53514
1762524709.000895000,170.114.201.99,8801,192.168.11.6,53514
1762524709.012332000,170.114.201.99,8801,192.168.11.6,53514
1762524709.012336000,170.114.201.99,8801,192.168.11.6,53514
1762524709.022230000,170.114.201.99,8801,192.168.11.6,53514
1762524709.031682000,170.114.201.99,8801,192.168.11.6,53514
1762524709.031683000,170.114.201.99,8801,192.168.11.6,53514
1762524709.035309000,192.168.11.6,64767,170.114.201.99,8801
1762524709.035341000,192.168.11.6,61579,170.114.201.99,8801
1762524709.035373000,192.168.11.6,51409,170.114.201.99,8801
1762524709.035402000,192.168.11.6,57867,170.114.201.99,8801
1762524709.035433000,192.168.11.6,50209,170.114.201.99,8801
1762524709.035462000,192.168.11.6,51731,170.114.201.99,8801
1762524709.043013000,170.114.201.99,8801,192.168.11.6,53514
1762524709.044391000,170.114.201.99,8801,192.168.11.6,64767
1762524709.044393000,170.114.201.99,8801,192.168.11.6,64767
1762524709.044395000,170.114.201.99,8801,192.168.11.6,61579
1762524709.044396000,170.114.201.99,8801,192.168.11.6,61579
1762524709.045228000,170.114.201.99,8801,192.168.11.6,51409
1762524709.047300000,192.168.11.6,64767,170.114.201.99,8801
1762524709.047303000,170.114.201.99,8801,192.168.11.6,51409
1762524709.047305000,170.114.201.99,8801,192.168.11.6,57867
1762524709.047306000,170.114.201.99,8801,192.168.11.6,57867
1762524709.047308000,170.114.201.99,8801,192.168.11.6,50209
1762524709.047309000,170.114.201.99,8801,192.168.11.6,51731
1762524709.047310000,170.114.201.99,8801,192.168.11.6,51731
1762524709.047311000,170.114.201.99,8801,192.168.11.6,50209
1762524709.047316000,192.168.11.6,61579,170.114.201.99,8801
1762524709.049394000,192.168.11.6,51409,170.114.201.99,8801
1762524709.049409000,192.168.11.6,57867,170.114.201.99,8801
1762524709.051497000,192.168.11.6,50209,170.114.201.99,8801
1762524709.051510000,192.168.11.6,51731,170.114.201.99,8801
1762524709.052765000,170.114.201.99,8801,192.168.11.6,53514
1762524709.055685000,170.114.201.99,8801,192.168.11.6,64767
1762524709.058260000,170.114.201.99,8801,192.168.11.6,51409
1762524709.064686000,170.114.201.99,8801,192.168.11.6,53514
1762524709.064689000,170.114.201.99,8801,192.168.11.6,53514
1762524709.064691000,170.114.201.99,8801,192.168.11.6,50209
1762524709.074049000,170.114.201.99,8801,192.168.11.6,53514
1762524709.083877000,170.114.201.99,8801,192.168.11.6,53514
1762524709.094545000,170.114.201.99,8801,192.168.11.6,53514
1762524709.094549000,170.114.201.99,8801,192.168.11.6,53514
1762524709.104116000,170.114.201.99,8801,192.168.11.6,51409
1762524709.104118000,170.114.201.99,8801,192.168.11.6,64767
1762524709.104119000,170.114.201.99,8801,192.168.11.6,53514
1762524709.104277000,192.168.11.6,64767,170.114.201.99,8801
1762524709.104280000,192.168.11.6,51409,170.114.201.99,8801
1762524709.115358000,170.114.201.99,8801,192.168.11.6,53514
1762524709.115362000,170.114.201.99,8801,192.168.11.6,53514
1762524709.125919000,170.114.201.99,8801,192.168.11.6,53514
1762524709.137056000,170.114.201.99,8801,192.168.11.6,53514
1762524709.142905000,192.168.11.6,53514,170.114.201.99,8801
1762524709.146105000,170.114.201.99,8801,192.168.11.6,53514
1762524709.146107000,170.114.201.99,8801,192.168.11.6,53514
1762524709.150851000,192.168.11.6,56042,170.114.201.99,8801
1762524709.150912000,192.168.11.6,56042,170.114.201.99,8801
1762524709.150950000,192.168.11.6,56042,170.114.201.99,8801
1762524709.155913000,170.114.201.99,8801,192.168.11.6,51409
1762524709.155914000,170.114.201.99,8801,192.168.11.6,64767
1762524709.155916000,170.114.201.99,8801,192.168.11.6,53514
1762524709.165699000,170.114.201.99,8801,192.168.11.6,53514
1762524709.167077000,192.168.11.6,64767,170.114.201.99,8801
1762524709.167095000,192.168.11.6,51409,170.114.201.99,8801
1762524709.167113000,192.168.11.6,56042,170.114.201.99,8801
1762524709.177049000,170.114.201.99,8801,192.168.11.6,53514
1762524709.177050000,170.114.201.99,8801,192.168.11.6,53514
1762524709.177343000,192.168.11.6,56042,170.114.201.99,8801
1762524709.186856000,170.114.201.99,8801,192.168.11.6,53514
1762524709.198524000,170.114.201.99,8801,192.168.11.6,53514
1762524709.198528000,170.114.201.99,8801,192.168.11.6,53514
1762524709.199037000,192.168.11.6,56042,170.114.201.99,8801
1762524709.208644000,170.114.201.99,8801,192.168.11.6,51409
1762524709.208647000,170.114.201.99,8801,192.168.11.6,53514
1762524709.208650000,170.114.201.99,8801,192.168.11.6,53514
1762524709.208651000,170.114.201.99,8801,192.168.11.6,64767
1762524709.208869000,192.168.11.6,56042,170.114.201.99,8801
1762524709.230305000,170.114.201.99,8801,192.168.11.6,53514
1762524709.230309000,170.114.201.99,8801,192.168.11.6,53514
1762524709.230312000,170.114.201.99,8801,192.168.11.6,53514
1762524709.230556000,192.168.11.6,64767,170.114.201.99,8801
1762524709.230564000,192.168.11.6,51409,170.114.201.99,8801
1762524709.230710000,192.168.11.6,56042,170.114.201.99,8801
1762524709.249351000,170.114.201.99,8801,192.168.11.6,53514
1762524709.249355000,170.114.201.99,8801,192.168.11.6,53514
1762524709.249356000,170.114.201.99,8801,192.168.11.6,53514
1762524709.249858000,192.168.11.6,56042,170.114.201.99,8801
1762524709.249876000,192.168.11.6,56042,170.114.201.99,8801
1762524709.269800000,170.114.201.99,8801,192.168.11.6,51409
1762524709.269803000,170.114.201.99,8801,192.168.11.6,53514
1762524709.269804000,170.114.201.99,8801,192.168.11.6,64767
1762524709.269805000,170.114.201.99,8801,192.168.11.6,53514
1762524709.269807000,170.114.201.99,8801,192.168.11.6,53514
1762524709.270026000,192.168.11.6,56042,170.114.201.99,8801
1762524709.279834000,170.114.201.99,8801,192.168.11.6,53514
1762524709.280027000,192.168.11.6,56042,170.114.201.99,8801
1762524709.291990000,170.114.201.99,8801,192.168.11.6,53514
1762524709.292239000,192.168.11.6,64767,170.114.201.99,8801
1762524709.292256000,192.168.11.6,51409,170.114.201.99,8801
1762524709.292281000,192.168.11.6,56042,170.114.201.99,8801
1762524709.300652000,170.114.201.99,8801,192.168.11.6,53514
1762524709.300655000,170.114.201.99,8801,192.168.11.6,53514
1762524709.300833000,192.168.11.6,56042,170.114.201.99,8801
1762524709.310988000,170.114.201.99,8801,192.168.11.6,53514
1762524709.315559000,192.168.11.6,56042,170.114.201.99,8801
1762524709.321005000,170.114.201.99,8801,192.168.11.6,51409
1762524709.321008000,170.114.201.99,8801,192.168.11.6,64767
1762524709.321009000,170.114.201.99,8801,192.168.11.6,53514
1762524709.321010000,170.114.201.99,8801,192.168.11.6,53514
1762524709.329788000,192.168.11.6,56042,170.114.201.99,8801
1762524709.331625000,170.114.201.99,8801,192.168.11.6,53514
1762524709.341857000,170.114.201.99,8801,192.168.11.6,53514
1762524709.342061000,192.168.11.6,56042,170.114.201.99,8801
1762524709.352528000,170.114.201.99,8801,192.168.11.6,53514
1762524709.352532000,170.114.201.99,8801,192.168.11.6,53514
1762524709.352655000,192.168.11.6,64767,170.114.201.99,8801
1762524709.352672000,192.168.11.6,51409,170.114.201.99,8801
1762524709.362343000,170.114.201.99,8801,192.168.11.6,53514
1762524709.362617000,192.168.11.6,56042,170.114.201.99,8801
1762524709.372397000,170.114.201.99,8801,192.168.11.6,64767
1762524709.372400000,170.114.201.99,8801,192.168.11.6,51409
1762524709.372401000,170.114.201.99,8801,192.168.11.6,53514
1762524709.372563000,192.168.11.6,56042,170.114.201.99,8801
1762524709.372578000,192.168.11.6,56042,170.114.201.99,8801
1762524709.383362000,170.114.201.99,8801,192.168.11.6,53514
1762524709.383366000,170.114.201.99,8801,192.168.11.6,53514
1762524709.393312000,170.114.201.99,8801,192.168.11.6,53514
1762524709.393316000,170.114.201.99,8801,192.168.11.6,53514
1762524709.393532000,192.168.11.6,56042,170.114.201.99,8801
1762524709.403149000,170.114.201.99,8801,192.168.11.6,53514
1762524709.403301000,192.168.11.6,64767,170.114.201.99,8801
1762524709.403306000,192.168.11.6,51409,170.114.201.99,8801
1762524709.403343000,192.168.11.6,56042,170.114.201.99,8801
1762524709.418655000,170.114.201.99,8801,192.168.11.6,53514
1762524709.418660000,170.114.201.99,8801,192.168.11.6,53514
1762524709.418884000,192.168.11.6,56042,170.114.201.99,8801
1762524709.423942000,170.114.201.99,8801,192.168.11.6,64767
1762524709.423945000,170.114.201.99,8801,192.168.11.6,51409
1762524709.423946000,170.114.201.99,8801,192.168.11.6,53514
1762524709.423947000,170.114.201.99,8801,192.168.11.6,53514
1762524709.434491000,170.114.201.99,8801,192.168.11.6,53514
1762524709.434674000,192.168.11.6,56042,170.114.201.99,8801
1762524709.444673000,170.114.201.99,8801,192.168.11.6,53514
1762524709.444676000,170.114.201.99,8801,192.168.11.6,53514
1762524709.444853000,192.168.11.6,56042,170.114.201.99,8801
1762524709.455029000,170.114.201.99,8801,192.168.11.6,53514
1762524709.455033000,170.114.201.99,8801,192.168.11.6,53514
1762524709.455232000,192.168.11.6,64767,170.114.201.99,8801
1762524709.455247000,192.168.11.6,51409,170.114.201.99,8801
1762524709.455266000,192.168.11.6,56042,170.114.201.99,8801
1762524709.464217000,170.114.201.99,8801,192.168.11.6,56042
1762524709.464221000,170.114.201.99,8801,192.168.11.6,53514
1762524709.475196000,170.114.201.99,8801,192.168.11.6,51409
1762524709.475199000,170.114.201.99,8801,192.168.11.6,64767
1762524709.475201000,170.114.201.99,8801,192.168.11.6,53514
1762524709.475203000,170.114.201.99,8801,192.168.11.6,53514
1762524709.475447000,192.168.11.6,56042,170.114.201.99,8801
1762524709.485751000,170.114.201.99,8801,192.168.11.6,53514
1762524709.485757000,170.114.201.99,8801,192.168.11.6,53514
1762524709.485990000,192.168.11.6,56042,170.114.201.99,8801
1762524709.496093000,170.114.201.99,8801,192.168.11.6,53514
1762524709.496346000,192.168.11.6,56042,170.114.201.99,8801
1762524709.506199000,170.114.201.99,8801,192.168.11.6,53514
1762524709.506204000,170.114.201.99,8801,192.168.11.6,53514
1762524709.506329000,192.168.11.6,64767,170.114.201.99,8801
1762524709.506334000,192.168.11.6,51409,170.114.201.99,8801
1762524709.506379000,192.168.11.6,56042,170.114.201.99,8801
1762524709.516774000,170.114.201.99,8801,192.168.11.6,53514
1762524709.516779000,170.114.201.99,8801,192.168.11.6,53514
1762524709.527175000,170.114.201.99,8801,192.168.11.6,53514
1762524709.527400000,192.168.11.6,56042,170.114.201.99,8801
1762524709.537246000,170.114.201.99,8801,192.168.11.6,53514
1762524709.537252000,170.114.201.99,8801,192.168.11.6,53514
1762524709.537399000,192.168.11.6,56042,170.114.201.99,8801
1762524709.547027000,170.114.201.99,8801,192.168.11.6,53514
1762524709.547145000,192.168.11.6,56042,170.114.201.99,8801
1762524709.557777000,170.114.201.99,8801,192.168.11.6,53514
1762524709.557783000,170.114.201.99,8801,192.168.11.6,53514
1762524709.557936000,192.168.11.6,64767,170.114.201.99,8801
1762524709.557943000,192.168.11.6,51409,170.114.201.99,8801
1762524709.558044000,192.168.11.6,56042,170.114.201.99,8801
1762524709.569092000,170.114.201.99,8801,192.168.11.6,53514
1762524709.569095000,170.114.201.99,8801,192.168.11.6,53514
1762524709.569097000,170.114.201.99,8801,192.168.11.6,53514
1762524709.569234000,192.168.11.6,56042,170.114.201.99,8801
1762524709.588000000,170.114.201.99,8801,192.168.11.6,53514
1762524709.588005000,170.114.201.99,8801,192.168.11.6,53514
1762524709.588007000,170.114.201.99,8801,192.168.11.6,53514
1762524709.588009000,170.114.201.99,8801,192.168.11.6,53514
1762524709.588212000,192.168.11.6,56042,170.114.201.99,8801
1762524709.608292000,170.114.201.99,8801,192.168.11.6,53514
1762524709.608297000,170.114.201.99,8801,192.168.11.6,53514
1762524709.608299000,170.114.201.99,8801,192.168.11.6,53514
1762524709.608476000,192.168.11.6,56042,170.114.201.99,8801
1762524709.608481000,192.168.11.6,56042,170.114.201.99,8801
1762524709.628780000,170.114.201.99,8801,192.168.11.6,53514
1762524709.628786000,170.114.201.99,8801,192.168.11.6,53514
1762524709.628788000,170.114.201.99,8801,192.168.11.6,53514
1762524709.629000000,192.168.11.6,56042,170.114.201.99,8801
1762524709.649523000,170.114.201.99,8801,192.168.11.6,53514
1762524709.649528000,170.114.201.99,8801,192.168.11.6,53514
1762524709.649531000,170.114.201.99,8801,192.168.11.6,53514
1762524709.649534000,170.114.201.99,8801,192.168.11.6,53514
1762524709.649698000,192.168.11.6,56042,170.114.201.99,8801
1762524709.649705000,192.168.11.6,56042,170.114.201.99,8801
1762524709.672211000,170.114.201.99,8801,192.168.11.6,53514
1762524709.672214000,170.114.201.99,8801,192.168.11.6,53514
1762524709.672216000,170.114.201.99,8801,192.168.11.6,53514
1762524709.672416000,192.168.11.6,56042,170.114.201.99,8801
1762524709.672437000,192.168.11.6,56042,170.114.201.99,8801
1762524709.672439000,192.168.11.6,56042,170.114.201.99,8801
1762524709.679734000,170.114.201.99,8801,192.168.11.6,53514
1762524709.679737000,170.114.201.99,8801,192.168.11.6,53514
1762524709.690467000,170.114.201.99,8801,192.168.11.6,53514
1762524709.690644000,192.168.11.6,56042,170.114.201.99,8801
1762524709.700748000,170.114.201.99,8801,192.168.11.6,53514
1762524709.700752000,170.114.201.99,8801,192.168.11.6,53514
1762524709.700906000,192.168.11.6,56042,170.114.201.99,8801
1762524709.710926000,170.114.201.99,8801,192.168.11.6,53514
1762524709.711070000,192.168.11.6,56042,170.114.201.99,8801
1762524709.712469000,170.114.201.99,8801,192.168.11.6,53514
1762524709.721314000,170.114.201.99,8801,192.168.11.6,53514
1762524709.721464000,192.168.11.6,56042,170.114.201.99,8801
1762524709.731037000,170.114.201.99,8801,192.168.11.6,53514
1762524709.731040000,170.114.201.99,8801,192.168.11.6,53514
1762524709.742168000,170.114.201.99,8801,192.168.11.6,53514
1762524709.742322000,192.168.11.6,56042,170.114.201.99,8801
1762524709.756588000,170.114.201.99,8801,192.168.11.6,53514
1762524709.756590000,170.114.201.99,8801,192.168.11.6,53514
1762524709.756591000,170.114.201.99,8801,192.168.11.6,56042
1762524709.756724000,192.168.11.6,56042,170.114.201.99,8801
1762524709.762602000,170.114.201.99,8801,192.168.11.6,53514
1762524709.762603000,170.114.201.99,8801,192.168.11.6,53514
1762524709.774844000,170.114.201.99,8801,192.168.11.6,53514
1762524709.774979000,192.168.11.6,56042,170.114.201.99,8801
1762524709.774982000,192.168.11.6,56042,170.114.201.99,8801
1762524709.783107000,170.114.201.99,8801,192.168.11.6,53514
1762524709.783111000,170.114.201.99,8801,192.168.11.6,53514
1762524709.783268000,192.168.11.6,56042,170.114.201.99,8801
1762524709.793427000,170.114.201.99,8801,192.168.11.6,53514
1762524709.793431000,170.114.201.99,8801,192.168.11.6,53514
1762524709.793565000,192.168.11.6,56042,170.114.201.99,8801
1762524709.803490000,170.114.201.99,8801,192.168.11.6,53514
1762524709.803673000,192.168.11.6,56042,170.114.201.99,8801
1762524709.814001000,170.114.201.99,8801,192.168.11.6,53514
1762524709.814005000,170.114.201.99,8801,192.168.11.6,53514
1762524709.814136000,192.168.11.6,56042,170.114.201.99,8801
1762524709.824324000,170.114.201.99,8801,192.168.11.6,53514
1762524709.824329000,170.114.201.99,8801,192.168.11.6,53514
1762524709.824530000,192.168.11.6,56042,170.114.201.99,8801
1762524709.834727000,170.114.201.99,8801,192.168.11.6,53514
1762524709.834889000,192.168.11.6,56042,170.114.201.99,8801
1762524709.845110000,170.114.201.99,8801,192.168.11.6,53514
1762524709.845113000,170.114.201.99,8801,192.168.11.6,53514
1762524709.845236000,192.168.11.6,56042,170.114.201.99,8801
1762524709.855292000,170.114.201.99,8801,192.168.11.6,53514
1762524709.855297000,170.114.201.99,8801,192.168.11.6,53514
1762524709.855497000,192.168.11.6,56042,170.114.201.99,8801
1762524709.865458000,170.114.201.99,8801,192.168.11.6,53514
1762524709.865661000,192.168.11.6,56042,170.114.201.99,8801
1762524709.875913000,170.114.201.99,8801,192.168.11.6,53514
1762524709.875916000,170.114.201.99,8801,192.168.11.6,53514
1762524709.876123000,192.168.11.6,56042,170.114.201.99,8801
1762524709.886267000,170.114.201.99,8801,192.168.11.6,53514
1762524709.886271000,170.114.201.99,8801,192.168.11.6,53514
1762524709.886469000,192.168.11.6,56042,170.114.201.99,8801
1762524709.896156000,170.114.201.99,8801,192.168.11.6,53514
1762524709.906556000,170.114.201.99,8801,192.168.11.6,53514
1762524709.906560000,170.114.201.99,8801,192.168.11.6,53514
1762524709.906713000,192.168.11.6,56042,170.114.201.99,8801
1762524709.916991000,170.114.201.99,8801,192.168.11.6,53514
1762524709.916993000,170.114.201.99,8801,192.168.11.6,53514
1762524709.917173000,192.168.11.6,56042,170.114.201.99,8801
1762524709.927959000,170.114.201.99,8801,192.168.11.6,53514
1762524709.928125000,192.168.11.6,56042,170.114.201.99,8801
1762524709.939071000,170.114.201.99,8801,192.168.11.6,53514
1762524709.939074000,170.114.201.99,8801,192.168.11.6,53514
1762524709.939287000,192.168.11.6,56042,170.114.201.99,8801
1762524709.939291000,192.168.11.6,56042,170.114.201.99,8801
1762524709.947900000,170.114.201.99,8801,192.168.11.6,53514
1762524709.947905000,170.114.201.99,8801,192.168.11.6,53514
1762524709.947907000,170.114.201.99,8801,192.168.11.6,53514
1762524709.968338000,170.114.201.99,8801,192.168.11.6,53514
1762524709.968343000,170.114.201.99,8801,192.168.11.6,53514
1762524709.968346000,170.114.201.99,8801,192.168.11.6,53514
1762524709.968578000,192.168.11.6,56042,170.114.201.99,8801
1762524709.968583000,192.168.11.6,56042,170.114.201.99,8801
1762524709.988644000,170.114.201.99,8801,192.168.11.6,53514
1762524709.988649000,170.114.201.99,8801,192.168.11.6,53514
1762524709.988652000,170.114.201.99,8801,192.168.11.6,53514
1762524709.988655000,170.114.201.99,8801,192.168.11.6,53514
1762524709.988834000,192.168.11.6,56042,170.114.201.99,8801
1762524709.988840000,192.168.11.6,56042,170.114.201.99,8801
1762524709.988842000,192.168.11.6,56042,170.114.201.99,8801
1762524710.009090000,170.114.201.99,8801,192.168.11.6,53514
1762524710.009094000,170.114.201.99,8801,192.168.11.6,53514
1762524710.009097000,170.114.201.99,8801,192.168.11.6,53514
1762524710.009319000,192.168.11.6,56042,170.114.201.99,8801
1762524710.009324000,192.168.11.6,56042,170.114.201.99,8801
1762524710.029928000,170.114.201.99,8801,192.168.11.6,53514
1762524710.029933000,170.114.201.99,8801,192.168.11.6,53514
1762524710.029935000,170.114.201.99,8801,192.168.11.6,53514
1762524710.030093000,192.168.11.6,56042,170.114.201.99,8801
1762524710.030098000,192.168.11.6,56042,170.114.201.99,8801
1762524710.039025000,170.114.201.99,8801,192.168.11.6,53514
1762524710.039028000,170.114.201.99,8801,192.168.11.6,53514
1762524710.039250000,192.168.11.6,56042,170.114.201.99,8801
1762524710.049652000,170.114.201.99,8801,192.168.11.6,53514
1762524710.049657000,170.114.201.99,8801,192.168.11.6,53514
1762524710.049789000,192.168.11.6,56042,170.114.201.99,8801
1762524710.058466000,170.114.201.99,8801,192.168.11.6,56042
1762524710.058609000,192.168.11.6,56042,170.114.201.99,8801
1762524710.059849000,170.114.201.99,8801,192.168.11.6,53514
1762524710.070395000,170.114.201.99,8801,192.168.11.6,53514
1762524710.070400000,170.114.201.99,8801,192.168.11.6,53514
1762524710.070532000,192.168.11.6,56042,170.114.201.99,8801
1762524710.081065000,170.114.201.99,8801,192.168.11.6,53514
1762524710.081070000,170.114.201.99,8801,192.168.11.6,53514
1762524710.081241000,192.168.11.6,56042,170.114.201.99,8801
1762524710.090870000,170.114.201.99,8801,192.168.11.6,53514
1762524710.091015000,192.168.11.6,56042,170.114.201.99,8801
1762524710.101276000,170.114.201.99,8801,192.168.11.6,53514
1762524710.101280000,170.114.201.99,8801,192.168.11.6,53514
1762524710.101430000,192.168.11.6,56042,170.114.201.99,8801
1762524710.111691000,170.114.201.99,8801,192.168.11.6,53514
1762524710.111695000,170.114.201.99,8801,192.168.11.6,53514
1762524710.111835000,192.168.11.6,56042,170.114.201.99,8801
1762524710.121827000,170.114.201.99,8801,192.168.11.6,53514
1762524710.121982000,192.168.11.6,56042,170.114.201.99,8801
1762524710.131949000,170.114.201.99,8801,192.168.11.6,53514
1762524710.131954000,170.114.201.99,8801,192.168.11.6,53514
1762524710.132090000,192.168.11.6,56042,170.114.201.99,8801
1762524710.141961000,170.114.201.99,8801,192.168.11.6,53514
1762524710.141966000,170.114.201.99,8801,192.168.11.6,53514
1762524710.142083000,192.168.11.6,56042,170.114.201.99,8801
1762524710.152213000,170.114.201.99,8801,192.168.11.6,53514
1762524710.152463000,192.168.11.6,56042,170.114.201.99,8801
1762524710.163720000,170.114.201.99,8801,192.168.11.6,53514
1762524710.163724000,170.114.201.99,8801,192.168.11.6,53514
1762524710.163916000,192.168.11.6,56042,170.114.201.99,8801
1762524710.172550000,170.114.201.99,8801,192.168.11.6,53514
1762524710.182947000,170.114.201.99,8801,192.168.11.6,53514
1762524710.182952000,170.114.201.99,8801,192.168.11.6,53514
1762524710.183086000,192.168.11.6,56042,170.114.201.99,8801
1762524710.183104000,192.168.11.6,56042,170.114.201.99,8801
1762524710.193049000,170.114.201.99,8801,192.168.11.6,53514
1762524710.193051000,170.114.201.99,8801,192.168.11.6,53514
1762524710.203011000,170.114.201.99,8801,192.168.11.6,53514
1762524710.203164000,192.168.11.6,56042,170.114.201.99,8801
1762524710.214904000,170.114.201.99,8801,192.168.11.6,53514
1762524710.214908000,170.114.201.99,8801,192.168.11.6,53514
1762524710.215032000,192.168.11.6,56042,170.114.201.99,8801
1762524710.215050000,192.168.11.6,56042,170.114.201.99,8801
1762524710.222828000,192.168.11.6,53514,170.114.201.99,8801
1762524710.223508000,170.114.201.99,8801,192.168.11.6,53514
1762524710.223511000,170.114.201.99,8801,192.168.11.6,53514
1762524710.233659000,170.114.201.99,8801,192.168.11.6,53514
1762524710.233793000,192.168.11.6,56042,170.114.201.99,8801
1762524710.243819000,170.114.201.99,8801,192.168.11.6,53514
1762524710.243824000,170.114.201.99,8801,192.168.11.6,53514
1762524710.244014000,192.168.11.6,56042,170.114.201.99,8801
1762524710.254134000,170.114.201.99,8801,192.168.11.6,53514
1762524710.254140000,170.114.201.99,8801,192.168.11.6,53514
1762524710.254312000,192.168.11.6,56042,170.114.201.99,8801
1762524710.264055000,170.114.201.99,8801,192.168.11.6,53514
1762524710.264197000,192.168.11.6,56042,170.114.201.99,8801
1762524710.274420000,170.114.201.99,8801,192.168.11.6,53514
1762524710.274425000,170.114.201.99,8801,192.168.11.6,53514
1762524710.274609000,192.168.11.6,56042,170.114.201.99,8801
1762524710.284534000,170.114.201.99,8801,192.168.11.6,53514
1762524710.284539000,170.114.201.99,8801,192.168.11.6,53514
1762524710.284715000,192.168.11.6,56042,170.114.201.99,8801
1762524710.294788000,170.114.201.99,8801,192.168.11.6,53514
1762524710.294965000,192.168.11.6,56042,170.114.201.99,8801
1762524710.294969000,192.168.11.6,56042,170.114.201.99,8801
1762524710.305015000,170.114.201.99,8801,192.168.11.6,53514
1762524710.305020000,170.114.201.99,8801,192.168.11.6,53514
